Quarter,Unleaded Gasoline Sale (UGS),RNUV,# LPG Vehicles (NLPG),Price of Unleaded Gasoline (PU),Price of Diesel Gasoline (PG),# Unleaded Gasoline Vehicles (NUGV),# of Diesel Gasoline Vehicles (NDGV),GNP Agriculture,GNP Commerce,GNP Total
2000_Q1,1128971,0.0146,940000,469.03,355.69,4647500,281.9853,1040173,3483132,18022686
2000_Q2,1199569,0.0205,941000,459.42,344.58,4742876,284.0813,1760460,4525451,21797130
2000_Q3,1370167,0.0207,943500,439.98,327.21,4840931,286.7169,6974808,5915204,30050207
2000_Q4,1127548,0.0163,948000,402.08,300.67,4919685,288.3137,3267125,4929778,24480153
2001_Q1,1033918,0.0071,950000,411.58,305.75,4954754,287.6237,1004528,3418387,15832648
2001_Q2,1019754,0.0051,955000,520.39,374.78,4980204,287.8814,1449357,4359831,20296918
2001_Q3,1209916,0.0041,967500,530.37,398.71,5000446,287.5452,5890424,5925547,28017963
2001_Q4,1002789,0.0048,990000,496.35,370.7,5024693,286.9786,1940854,4559190,22656812
2002_Q1,893722,0.0012,1000000,479.52,352.72,5030810,286.3783,832953,3374849,18393446
2002_Q2,1027252,0.0032,1001000,506.36,373.44,5046960,286.0471,1419764,4363782,20382635
2002_Q3,1153265,0.0034,1003500,533.66,404.49,5064066,285.879,6340745,6229580,29835296
2002_Q4,991981,0.0044,1008000,506.9,390.75,5086547,286.1087,2258470,5057739,25813612
2003_Q1,806257,0.0019,1010000,537.5,425,5096278,285.8286,841604,3933013,20084070
2003_Q2,960556,0.0056,1048000,502.06,382.47,5125065,286.2459,1519490,4395167,21769200
2003_Q3,1104825,0.0041,1143000,488.72,374.48,5146129,287.7798,6952669,6096102,30878474
2003_Q4,934022,0.0062,1314000,455.83,351.18,5178274,290.2288,2112006,5035207,25427354
2004_Q1,832350,0.003,1390000,454.11,352.22,5193861,293.503,1025366,4055284,20692122
2004_Q2,975165,0.003,1401000,478.2,372.54,5209448,296.7488,1621092,5190860,24061451
2004_Q3,1094823,0.0051,1428500,522.95,408.34,5236227,298.6176,6932300,6886243,33270727
2004_Q4,854517,0.0181,1478000,561.67,438.75,5330892,303.1641,2408982,5847940,28644792
2005_Q1,762559,0.0035,1500000,571.48,438.67,5349584,305.5032,1027640,4405719,22144043
2005_Q2,890693,0.0131,1512000,591.14,456.19,5419927,310.4279,1424674,5308303,25032070
2005_Q3,1040946,0.0162,1542000,609.03,471.86,5507485,316.2897,6476845,6784956,33325846
2005_Q4,793399,0.0158,1596000,565.19,449.19,5594288,322.2079,2193688,5802943,28445453
2006_Q1,736580,0.008,1620000,565.19,449.19,5635972,324.9761,1079022,4626005,23251245
2006_Q2,877614,0.0114,1629500,565.19,449.19,5696182,329.4702,1495908,5573718,26283673
2006_Q3,946783,0.0108,1653250,565.19,449.19,5754077,333.7144,6800688,7124204,34992138
2006_Q4,872000,0.0133,1696000,565.19,449.19,5825866,339.2281,2303373,6093090,29867726
2007_Q1,,0.0074,1715000,565.19,449.19,5869018,342.1729,1132973,4857305,24413807
2007_Q2,,0.0106,1725300,565.19,449.19,5931348,346.9407,1570703,5852404,27597857
2007_Q3,,0.0101,1751050,565.19,449.19,5991280,351.4449,7140722,7480414,36741745
2007_Q4,,0.0124,1797400,565.19,449.19,6065597,357.2902,2418541,6397745,31361112
